       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.0000        0.0200       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 2.40  -7.399 -56.790  -7.401 -10.330 -10.910 -10.010 -10.796 -11.238 -11.080 -11.345   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.46  -7.219 -56.610  -7.221 -10.150 -10.730  -9.830 -10.616 -11.058 -10.900 -11.165   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.52  -7.039 -56.430  -7.041  -9.970 -10.550  -9.650 -10.436 -10.878 -10.720 -10.985   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.58  -6.859 -56.250  -6.861  -9.790 -10.370  -9.470 -10.256 -10.698 -10.540 -10.805   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.64  -6.640 -56.031  -6.642  -9.571 -10.151  -9.251 -10.037 -10.479 -10.321 -10.586   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.70  -6.400 -55.791  -6.402  -9.331  -9.911  -9.011  -9.797 -10.239 -10.081 -10.346   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.76  -6.160 -55.551  -6.162  -9.091  -9.671  -8.771  -9.557  -9.999  -9.841 -10.106   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.82  -5.920 -55.311  -5.922  -8.851  -9.431  -8.531  -9.317  -9.759  -9.601  -9.866   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.88  -5.680 -55.071  -5.682  -8.611  -9.191  -8.291  -9.077  -9.519  -9.361  -9.626   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 2.94  -5.440 -54.831  -5.442  -8.371  -8.951  -8.051  -8.837  -9.279  -9.121  -9.386   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.00  -5.200 -54.591  -5.202  -8.131  -8.711  -7.811  -8.597  -9.039  -8.881  -9.146   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.06  -4.960 -54.351  -4.962  -7.891  -8.471  -7.571  -8.357  -8.799  -8.641  -8.906   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.12  -4.720 -54.111  -4.722  -7.651  -8.231  -7.331  -8.117  -8.559  -8.401  -8.666   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.18  -4.480 -53.871  -4.482  -7.411  -7.991  -7.091  -7.877  -8.319  -8.161  -8.426   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000   1.000
 3.24  -4.240 -53.631  -4.242  -7.171  -7.751  -6.851  -7.637  -8.079  -7.921  -8.186   0.000   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.000   1.000   1.000   1.000   1.000   1.000   1.000   0.999   1.000   1.000
 3.30  -4.000 -53.391  -4.002  -6.931  -7.511  -6.611  -7.397  -7.839  -7.681  -7.946   0.000   0.000   0.000   0.000   0.000   0.000   0.026   0.000   0.004   1.000   1.000   1.000   1.000   1.000   1.000   0.974   1.000   0.996
 3.36  -3.760 -53.151  -3.762  -6.691  -7.271  -6.371  -7.157  -7.599  -7.441  -7.706   0.000   0.000   0.000   0.000   0.000   0.000   0.330   0.013   0.075   1.000   1.000   1.000   1.000   1.000   1.000   0.670   0.987   0.925
 3.42  -3.520 -52.911  -3.522  -6.451  -7.031  -6.131  -6.917  -7.359  -7.201  -7.466   0.000   0.000   0.000   0.000   0.000   0.000   0.926   0.310   0.708   1.000   1.000   1.000   1.000   1.000   1.000   0.074   0.690   0.292
 3.48  -3.280 -52.672  -3.282  -6.211  -6.791  -5.891  -6.677  -7.119  -6.961  -7.226   0.000   0.000   0.000   0.000   0.000   0.000   0.998   0.959   0.991   1.000   1.000   1.000   1.000   1.000   1.000   0.002   0.041   0.009
 3.54  -3.040 -52.431  -3.042  -5.971  -6.551  -5.651  -6.437  -6.879  -6.721  -6.986   0.000   0.000   0.029   0.000   0.000   0.000   1.000   0.999   1.000   1.000   1.000   0.971   1.000   1.000   1.000   0.000   0.001   0.000
 3.60  -2.800 -52.192  -2.803  -5.731  -6.311  -5.412  -6.198  -6.639  -6.482  -6.747   0.001   0.000   0.577   0.000   0.001   0.000   1.000   1.000   1.000   0.999   1.000   0.423   1.000   0.999   1.000   0.000   0.000   0.000
 3.66  -2.560 -51.952  -2.563  -5.491  -6.072  -5.172  -5.958  -6.400  -6.242  -6.507   0.088   0.000   0.980   0.039   0.075   0.000   1.002   1.000   1.000   0.912   1.000   0.020   0.961   0.925   1.000   0.000   0.000   0.000
 3.72  -2.320 -51.713  -2.324  -5.252  -5.832  -4.933  -5.719  -6.160  -6.003  -6.268   0.769   0.000   0.999   0.654   0.739   0.000   1.122   1.003   1.017   0.231   1.000   0.001   0.346   0.261   1.000   0.000   0.000   0.000
 3.78  -2.080 -51.473  -2.084  -5.013  -5.593  -4.693  -5.479  -5.921  -5.763  -6.028   0.991   0.000   1.000   0.987   0.989   0.000   1.868   1.149   1.535   0.009   1.000   0.000   0.013   0.011   1.000   0.000   0.000   0.000
 3.84  -1.840 -51.233  -1.844  -4.773  -5.353  -4.453  -5.239  -5.681  -5.523  -5.788   1.000   0.000   1.000   1.000   0.999   0.075   1.995   1.885   1.980   0.000   1.000   0.000   0.000   0.001   0.942   0.000   0.000   0.000
 3.90  -1.600 -50.996  -1.607  -4.536  -5.116  -4.216  -5.002  -5.444  -5.286  -5.551   1.000   0.006   1.001   1.000   1.000   1.824   1.999   1.989   1.998   0.000   0.994   0.000   0.000   0.000   0.056   0.000   0.000   0.000
 3.96  -1.360 -50.785  -1.396  -4.325  -4.905  -4.005  -4.791  -5.233  -5.075  -5.340   1.000   0.077   1.009   1.000   1.000   2.186   2.000   1.996   1.999   0.000   0.923   0.000   0.000   0.000   0.001   0.000   0.000   0.000
 4.02  -1.120 -50.680  -1.291  -4.220  -4.800  -3.900  -4.686  -5.128  -4.970  -5.235   1.000   0.473   1.086   1.001   1.000   2.667   2.000   1.999   2.000   0.000   0.527   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.08  -0.880 -50.560  -1.171  -4.099  -4.680  -3.780  -4.566  -5.008  -4.850  -5.115   1.000   0.942   1.623   1.041   1.001   2.968   2.000   2.003   2.006   0.000   0.058   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.14  -0.640 -50.332  -0.943  -3.872  -4.452  -3.552  -4.338  -4.780  -4.622  -4.887   1.000   0.996   1.965   1.575   1.042   3.554   2.000   2.133   2.168   0.000   0.004   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.20  -0.400 -50.093  -0.704  -3.633  -4.213  -3.313  -4.099  -4.541  -4.383  -4.648   1.000   1.000   1.997   1.965   1.618   5.569   2.000   2.825   2.819   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.26  -0.160 -49.854  -0.465  -3.393  -3.973  -3.074  -3.860  -4.301  -4.144  -4.409   1.000   1.000   2.009   1.998   1.973   6.347   2.000   3.002   2.985   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.32   0.080 -49.615  -0.225  -3.154  -3.734  -2.834  -3.620  -4.062  -3.905  -4.170   1.000   1.003   2.281   2.040   2.001   7.983   2.000   3.309   3.016   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.38   0.320 -49.393  -0.004  -2.933  -3.513  -2.613  -3.399  -3.841  -3.683  -3.948   1.000   1.091   2.905   2.493   2.094   8.000   2.000   3.899   3.409   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.44   0.560 -49.259   0.130  -2.798  -3.379  -2.479  -3.265  -3.707  -3.549  -3.814   1.000   1.670   3.021   2.928   2.685   8.000   2.000   3.990   3.936   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.50   0.800 -49.065   0.324  -2.604  -3.184  -2.285  -3.071  -3.512  -3.355  -3.620   1.000   1.968   3.426   3.017   2.973   8.000   2.028   3.999   4.029   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.56   1.040 -48.829   0.560  -2.369  -2.949  -2.049  -2.835  -3.277  -3.119  -3.384   1.000   1.997   3.927   3.446   3.061   8.000   2.507   4.000   4.498   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.62   1.280 -48.590   0.799  -2.129  -2.709  -1.810  -2.596  -3.037  -2.880  -3.145   1.000   2.000   3.993   3.954   3.576   8.000   2.960   4.000   4.961   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.68   1.520 -48.350   1.039  -1.889  -2.470  -1.570  -2.356  -2.798  -2.640  -2.905   1.000   2.000   3.999   4.266   3.976   8.000   3.062   4.000   5.292   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.74   1.760 -48.110   1.279  -1.650  -2.230  -1.330  -2.116  -2.558  -2.400  -2.665   1.000   2.000   4.000   4.866   4.464   8.000   3.635   4.000   5.903   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.80   2.000 -47.870   1.519  -1.410  -1.990  -1.090  -1.876  -2.318  -2.160  -2.425   1.000   2.000   4.000   4.987   4.985   8.000   3.988   4.003   6.322   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.86   2.240 -47.631   1.759  -1.170  -1.750  -0.850  -1.636  -2.078  -1.921  -2.186   1.000   2.000   4.000   4.998   5.496   8.000   4.347   4.108   6.910   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.92   2.480 -47.391   1.998  -0.930  -1.510  -0.611  -1.397  -1.838  -1.681  -1.946   1.000   2.000   4.000   5.000   5.934   8.000   4.958   4.760   7.306   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 4.98   2.720 -47.151   2.238  -0.690  -1.270  -0.371  -1.157  -1.599  -1.441  -1.706   1.000   2.000   4.000   5.000   5.993   8.000   5.631   5.086   7.865   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.04   2.960 -46.911   2.478  -0.450  -1.030  -0.131  -0.917  -1.359  -1.201  -1.466   1.000   2.000   4.000   5.000   5.999   8.000   6.081   5.713   8.309   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.10   3.200 -46.671   2.718  -0.210  -0.791   0.109  -0.677  -1.119  -0.961  -1.226   1.000   2.000   4.000   5.000   6.000   8.000   6.710   6.148   9.051   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.16   3.440 -46.431   2.958   0.030  -0.551   0.349  -0.437  -0.879  -0.721  -0.986   1.000   2.000   4.000   5.000   6.000   8.000   7.178   6.905   9.842   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.22   3.680 -46.191   3.198   0.270  -0.311   0.589  -0.197  -0.639  -0.481  -0.746   1.000   2.000   4.006   5.000   6.000   8.000   8.116   7.780  10.919   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.28   3.920 -45.951   3.438   0.509  -0.071   0.829   0.043  -0.399  -0.241  -0.506   1.000   2.000   4.139   5.000   6.000   8.000   9.036   8.379  12.147   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.34   4.160 -45.711   3.678   0.749   0.169   1.069   0.283  -0.159  -0.001  -0.266   1.000   2.000   4.745   5.001   6.000   8.000   9.720   9.028  13.051   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.40   4.400 -45.471   3.918   0.989   0.409   1.309   0.523   0.081   0.239  -0.026   1.000   2.000   5.056   5.021   6.000   8.000   9.964  10.074  14.514   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.46   4.640 -45.232   4.158   1.229   0.649   1.549   0.763   0.321   0.478   0.213   1.000   2.000   5.580   5.315   6.000   8.048   9.995  11.168  15.557   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.52   4.880 -44.992   4.397   1.469   0.889   1.788   1.002   0.561   0.718   0.453   1.000   2.000   5.935   5.896   6.009   9.694   9.999  11.814  15.936   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.58   5.120 -44.752   4.637   1.709   1.129   2.028   1.242   0.800   0.958   0.693   1.000   2.000   5.991   6.312   6.176   9.997  10.000  11.975  15.991   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.64   5.360 -44.512   4.877   1.948   1.368   2.268   1.482   1.040   1.198   0.933   1.000   2.000   5.998   6.844   6.783  10.000  10.000  11.996  15.998   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.70   5.600 -44.272   5.117   2.188   1.608   2.508   1.722   1.280   1.438   1.173   1.000   2.000   6.000   6.978   7.250  10.000  10.000  11.999  16.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.76   5.840 -44.032   5.357   2.428   1.848   2.748   1.962   1.520   1.677   1.413   1.000   2.000   6.000   6.996   7.807  10.000  10.000  12.000  16.019   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.82   6.080 -43.792   5.597   2.668   2.088   2.988   2.202   1.760   1.917   1.652   1.000   2.000   6.000   6.999   7.971  10.000  10.000  12.000  16.302   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.88   6.320 -43.553   5.837   2.908   2.328   3.228   2.442   2.000   2.157   1.892   1.000   2.000   6.000   7.000   7.995  10.000  10.001  12.000  17.109   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.94   6.560 -43.313   6.077   3.148   2.568   3.468   2.682   2.240   2.397   2.132   1.000   2.000   6.000   7.000   7.999  10.000  10.024  12.000  18.116   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.00   6.800 -43.073   6.317   3.388   2.808   3.708   2.922   2.480   2.637   2.372   1.000   2.000   6.000   7.000   8.000  10.000  10.299  12.000  19.945   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.06   7.040 -42.833   6.557   3.628   3.048   3.948   3.162   2.720   2.877   2.612   1.000   2.000   6.000   7.000   8.000  10.000  10.959  12.005  21.190   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.12   7.280 -42.593   6.796   3.868   3.288   4.188   3.401   2.960   3.117   2.852   1.000   2.000   6.000   7.000   8.000  10.000  11.604  12.091  23.251   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.18   7.520 -42.353   7.036   4.108   3.528   4.427   3.641   3.200   3.357   3.092   1.000   2.000   6.000   7.000   8.000  10.000  11.924  12.606  23.862   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.24   7.760 -42.113   7.276   4.348   3.768   4.667   3.881   3.440   3.597   3.332   1.000   2.000   6.000   7.000   8.000  10.000  11.986  13.309  23.976   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.30   8.000 -41.873   7.516   4.588   4.008   4.907   4.121   3.680   3.837   3.572   1.000   2.000   6.000   7.000   8.000  10.000  11.997  13.828  23.995   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.36   8.240 -41.633   7.756   4.828   4.248   5.147   4.361   3.920   4.077   3.812   1.000   2.000   6.000   7.000   8.000  10.000  11.999  13.967  23.999   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.42   8.480 -41.393   7.996   5.068   4.488   5.387   4.601   4.160   4.317   4.052   1.000   2.000   6.000   7.000   8.000  10.000  12.000  13.993  24.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.48   8.720 -41.153   8.236   5.308   4.728   5.627   4.841   4.400   4.557   4.292   1.000   2.000   6.000   7.000   8.000  10.000  12.000  13.998  24.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.54   8.960 -40.913   8.476   5.548   4.968   5.867   5.081   4.640   4.797   4.532   1.000   2.000   6.000   7.000   8.000  10.000  12.000  13.999  24.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.60   9.200 -40.673   8.716   5.788   5.208   6.107   5.321   4.880   5.037   4.772   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  24.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.66   9.440 -40.433   8.956   6.028   5.448   6.347   5.561   5.120   5.277   5.012   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  24.006   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.72   9.680 -40.193   9.196   6.268   5.688   6.587   5.801   5.360   5.517   5.252   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  24.082   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.78   9.920 -39.953   9.436   6.508   5.928   6.827   6.041   5.600   5.757   5.492   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  24.533   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.84  10.160 -39.713   9.676   6.748   6.168   7.067   6.281   5.840   5.997   5.732   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.314   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.90  10.400 -39.473   9.916   6.988   6.408   7.307   6.521   6.080   6.237   5.972   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.812   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.96  10.640 -39.233  10.156   7.228   6.648   7.547   6.761   6.320   6.477   6.212   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.955   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.02  10.880 -38.993  10.396   7.468   6.888   7.787   7.001   6.560   6.717   6.452   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.988   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.08  11.120 -38.753  10.636   7.708   7.128   8.027   7.241   6.800   6.957   6.692   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.996   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.14  11.360 -38.513  10.876   7.948   7.368   8.267   7.481   7.040   7.197   6.932   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.998   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.20  11.600 -38.273  11.116   8.188   7.608   8.507   7.721   7.280   7.437   7.172   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  25.999   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.26  11.840 -38.033  11.356   8.428   7.848   8.747   7.961   7.520   7.677   7.412   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.32  12.080 -37.793  11.596   8.668   8.088   8.987   8.201   7.760   7.917   7.652   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.38  12.320 -37.553  11.836   8.908   8.328   9.227   8.441   8.000   8.157   7.892   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.44  12.560 -37.313  12.076   9.148   8.568   9.467   8.681   8.240   8.397   8.132   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.50  12.800 -37.073  12.316   9.388   8.808   9.707   8.921   8.480   8.637   8.372   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 7.56  13.040 -36.833  12.556   9.628   9.048   9.947   9.161   8.720   8.877   8.612   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  26.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
